Title,Description,Category,PriorityScore
Public park reported on main road,public park on main road minor issue observed,Public Spaces,0.14
Overflowing bin reported at hospital,overflowing bin at hospital no major inconvenience,Waste & Sanitation,0.373
Bus stop reported on highway,bus stop on highway not urgent,Public Spaces,0.283
Gas leak reported near school,gas leak near school low impact problem,Public Safety,0.364
Flickering light reported on highway,flickering light on highway minor issue observed,Street Lighting,0.366
Park bench reported at hospital,park bench at hospital can be fixed later,Public Spaces,0.296
Litter reported near office area,litter near office area low impact problem,Waste & Sanitation,0.27
Gas leak reported in public park,gas leak in public park low impact problem,Public Safety,0.31
Broken pavement reported at junction,broken pavement at junction no major inconvenience,Roads & Infra,0.204
Air pollution reported in public park,air pollution in public park routine maintenance needed,Environment,0.116
Dark street reported on highway,dark street on highway no major inconvenience,Street Lighting,0.361
Broken pavement reported near market,broken pavement near market not urgent,Roads & Infra,0.199
Traffic congestion reported in public park,traffic congestion in public park not urgent,Traffic & Transport,0.265
Dust reported at junction,dust at junction minor issue observed,Environment,0.238
Clinic issue reported at hospital,clinic issue at hospital no major inconvenience,Healthcare,0.234
Broken pavement reported near school,broken pavement near school minor issue observed,Roads & Infra,0.221
Litter reported in public park,litter in public park minor issue observed,Waste & Sanitation,0.348
Health hazard reported in residential area,health hazard in residential area routine maintenance needed,Healthcare,0.269
Footpath reported near market,footpath near market minor issue observed,Public Spaces,0.345
Footpath reported in public park,footpath in public park routine maintenance needed,Public Spaces,0.28
Explosion risk reported on highway,explosion risk on highway minor issue observed,Public Safety,0.129
Water leakage reported near market,water leakage near market can be fixed later,Water & Drainage,0.349
Collision reported in public park,collision in public park can be fixed later,Traffic & Transport,0.311
Overflowing bin reported on highway,overflowing bin on highway not urgent,Waste & Sanitation,0.347
Smoke reported in residential area,smoke in residential area routine maintenance needed,Environment,0.159
Broken pavement reported at junction,broken pavement at junction no major inconvenience,Roads & Infra,0.347
Drain overflow reported at hospital,drain overflow at hospital no major inconvenience,Water & Drainage,0.114
Hospital equipment reported on highway,hospital equipment on highway no major inconvenience,Healthcare,0.298
Signboard reported on highway,signboard on highway minor issue observed,Civic Services,0.259
Litter reported at bus stop,litter at bus stop routine maintenance needed,Waste & Sanitation,0.245
Signboard reported near office area,signboard near office area not urgent,Civic Services,0.319
Streetlight reported at bus stop,streetlight at bus stop low impact problem,Street Lighting,0.28
Gas leak reported at bus stop,gas leak at bus stop no major inconvenience,Public Safety,0.394
Drain overflow reported at bus stop,drain overflow at bus stop can be fixed later,Water & Drainage,0.391
Playground equipment reported on main road,playground equipment on main road no major inconvenience,Public Spaces,0.281
Street sign reported in public park,street sign in public park can be fixed later,Civic Services,0.314
Signboard reported at junction,signboard at junction not urgent,Civic Services,0.287
Vehicle jam reported on main road,vehicle jam on main road low impact problem,Traffic & Transport,0.295
Dark street reported in public park,dark street in public park low impact problem,Street Lighting,0.291
Damaged road reported in public park,damaged road in public park no major inconvenience,Roads & Infra,0.275
Chemical spill reported in residential area,chemical spill in residential area no major inconvenience,Environment,0.342
Public toilet reported near school,public toilet near school no major inconvenience,Civic Services,0.144
Overflowing bin reported in residential area,overflowing bin in residential area not urgent,Waste & Sanitation,0.395
Blocked road reported near school,blocked road near school low impact problem,Traffic & Transport,0.335
Sewage overflow reported near school,sewage overflow near school can be fixed later,Water & Drainage,0.344
Sinkhole reported in public park,sinkhole in public park not urgent,Roads & Infra,0.323
Municipal office issue reported at junction,municipal office issue at junction routine maintenance needed,Civic Services,0.335
Traffic congestion reported at bus stop,traffic congestion at bus stop no major inconvenience,Traffic & Transport,0.225
Gas leak reported near school,gas leak near school minor issue observed,Public Safety,0.323
Sewage overflow reported on highway,sewage overflow on highway not urgent,Water & Drainage,0.373
Building collapse reported near office area,building collapse near office area routine maintenance needed,Public Safety,0.322
Pipe burst reported in residential area,pipe burst in residential area no major inconvenience,Water & Drainage,0.153
Road crack reported on main road,road crack on main road low impact problem,Roads & Infra,0.254
Smoke reported at bus stop,smoke at bus stop can be fixed later,Environment,0.267
Lamp post reported near office area,lamp post near office area can be fixed later,Street Lighting,0.102
Playground equipment reported near school,playground equipment near school not urgent,Public Spaces,0.379
